PLAYER,SALARY
Mark West,1000000
Chris Carr,1000000
Scott Burrell,1000000
Joe Wolf,1000000
Bill Wennington,1000000
Johnny Newman,1000000
Gary Trent,1000000
Keon Clark,1000000
Joe Dumars,1000000
Charles Barkley,1000000
Dennis Rodman,1000000
Derek Harper,1000000
Terry Porter,1000000
Dell Curry,1000000
Malik Sealy,1000000
David Wingate,1000000
Herb Williams,1000000
Olden Polynice,1000000
Danny Schayes,1000000
Dominique Wilkins,1000000
George Lynch,1000000
Harvey Grant,1000000
Rick Mahorn,1000000
Joe Kleine,1000000
Chris Morris,1000000
Gary Grant,1000000
Greg Anthony,1000000
Vernon Maxwell,1000000
Jerome Kersey,1000000
Michael Stewart,1000000
Chris Anstey,985200
Walter McCarty,975000
Dontae' Jones,953856
Michael Dickerson,949600
Zydrunas Ilgauskas,936000
Paul Grant,903240
Tony Massenburg,900000
Matt Harpring,900000
Anthony Parker,867120
Randolph Childress,866320
Roy Rogers,862560
Bryce Drew,857000
Chucky Brown,850000
Jud Buechler,850000
Blue Edwards,850000
Thurl Bailey,850000
Eric Snow,846300
Ed Gray,832440
Don Reid,800000
Ben Wallace,800000
Bobby Jackson,799200
Derek Fisher,795000
J.R. Reid,780000
Radoslav Nesterovic,775750
Martin Muursepp,763200
Cedric Ceballos,750000
George McCloud,750000
Roshown McLeod,740000
Pat Garrity,740000
Mirsad Turkcan,739400
Jerome Williams,737880
John Thomas,737000
Keith Askins,725000
Priest Lauderdale,712200
Pete Chilcutt,700000
Jacque Vaughn,691560
Keith Booth,687240
Brian Evans,686780
Ricky Davis,680000
Dwayne Schintzius,662500
Marty Conlon,662500
Brian Skinner,653500
Hubert Davis,645000
Rodrick Rhodes,639300
Ruben Patterson,628500
Fred Hoiberg,600000
Felipe Lopez,600000
Doug Overton,600000
Jon Barry,600000
Oliver Miller,600000
Greg Foster,588000
Aaron Williams,575000
Lawrence Funderburke,575000
Sam Jacobson,559000
Michael Curry,550000
Sam Mack,545000
Al Harrington,543000
Vladimir Stepania,543000
Corey Benjamin,540000
Eric Riley,537500
Charles Shackleford,537500
Mitchell Butler,537500
Negele Knight,537500
Nazr Mohammed,535000
Eric Washington,520000
Bruce Bowen,507000
Craig Ehlo,504082
Marcus Brown,500000
Corliss Williamson,500000
Gheorghe Muresan,475000
Jeff Sanders,475000
Anthony Miller,475000
David Vaughn,450000
Loren Meyer,450000
Jamie Feick,425000
Mark Hendrickson,425000
Corey Beck,425000
Ben Davis,425000
Horacio Llamas Grey,425000
Malik Rose,425000
Reggie Slater,400000
Mark Pope,382000
Chris Robinson,375000
Chris Crawford,350000
William Cunningham,350000
Rusty Larue,350000
DeJuan Wheat,350000
Adonis Jordan,350000
Rick Brunson,350000
Moochie Norris,350000
Drew Barry,350000
Marko Milic,350000
Michael Hawkins,350000
Andrew Gaze,350000
Jeff McInnis,350000
John Coker,350000
Charles O'Bannon,320000
Bubba Wells,312000
Jerald Honeycutt,300000
Jeffrey Sheppard,287500
Damon Jones,287500
Marlon Garnett,287500
Brad Miller,287500
Kornel David,287500
Charles Jones,287500
Cory Carr,287500
Earl Boykins,287500
Ryan Stack,287500
Ansu Sesay,287500
Bruno Sundov,287500
Kelly McCarty,287500
Korleone Young,287500
Cuttino Mobley,287500
Mate Skelin,287500
Troy Hudson,287500
Tyrone Nesby,287500
Tyronn Lue,287500
J.R. Henderson,287500
Makhtar N'Diaye,287500
Andrae Patterson,287500
Trevor Winter,287500
Jelani McCoy,287500
Rashard Lewis,287500
Jonathan Kerner,287500
Miles Simon,287500
Casey Shaw,287500
Randy Livingston,287500
Gerald Brown,287500
Toby Bailey,287500
Nikita Morgunov,287500
Jerome James,287500
Gerard King,287500
Brandon Williams,287500
Sean Marks,287500
Paul Rogers,287500
Randell Jackson,287500
