,0
John Wallace,785000
Randolph Childress,784000
Herb Williams,757000
Steve Kerr,750000
Chris Carr,750000
Walter McCarty,750000
Michael Finley,723000
Zydrunas Ilgauskas,720000
Jason Caffey,700000
Pete Chilcutt,700000
George Zidek,694000
Dontae' Jones,691000
Travis Best,666000
Roy Rogers,664000
Keith Askins,650000
Loren Meyer,639000
Dwayne Schintzius,625000
David Vaughn,614000
Derek Fisher,612000
Bo Outlaw,600000
Mitchell Butler,600000
Greg Anderson,584000
Danny Schayes,575000
Greg Ostertag,573000
Jerome Williams,568000
David Wingate,560000
Mario Bennett,555000
Brian Evans,551000
Priest Lauderdale,548000
Cory Alexander,521000
Antonio Lang,520000
David Benoit,508000
Alton Lister,500000
Jud Buechler,500000
Gary Grant,500000
Chucky Brown,500000
Sherell Ford,500000
Dontonio Wingfield,500000
Brad Lohaus,485000
Donny Marshall,450000
Tim Legler,450000
Greg Foster,420000
Darrell Armstrong,410000
Martin Muursepp,401000
Don Reid,400000
Michael Curry,400000
Rick Mahorn,400000
Joe Wolf,400000
Chris Whitney,400000
Bryon Russell,385000
Darrick Martin,375000
Craig Ehlo,360000
David Wesley,350000
Jimmy King,330000
Lawrence Moten,321000
Shane Heal,320000
Shawnelle Scott,300000
Ed Pinckney,300000
Howard Eisley,298000
Fred Hoiberg,297000
Rafael Addison,290000
Andrew DeClercq,276000
Steve Scheffler,275000
Xavier McDaniel,254000
Anthony Goldwire,250000
Jon Barry,247500
Eldridge Recasner,247500
Tyrone Corbin,247500
Donnie Boyce,247500
Ivano Newbill,247500
Willie Burton,247500
Tony Massenburg,247500
Tony Smith,247500
Carl Thomas,247500
Oliver Miller,247500
Fred Roberts,247500
Greg Dreiling,247500
Keith Jennings,247500
LaSalle Thompson,247500
Litterial Green,247500
Lou Roe,247500
Mike Peplowski,247500
Matt Bullard,247500
Matt Maloney,247500
Othella Harrington,247500
Sam Mack,247500
Charles Jones,247500
Tracy Moore,247500
Brent Scott,247500
Jerome Allen,247500
Kevin Duckworth,247500
Jerome Kersey,247500
Byron Scott,247500
Rumeal Robinson,247500
Doug Edwards,247500
Rich Manning,247500
Isaac Austin,247500
Mark Strickland,247500
Voshon Lenard,247500
Tony Farmer,247500
David Wood,247500
Dean Garrett,247500
Chris Jent,247500
Eric Leckner,247500
Scott Brooks,247500
Antonio Harvey,247500
Eric Snow,247500
Larry Stewart,247500
Gerald Wilkins,247500
Derek Strong,247500
Doug Overton,247500
Mark Bradtke,247500
Mark Davis,247500
Rex Chapman,247500
Darrin Hancock,247500
Reggie Jordan,247500
Tyus Edney,247500
Kevin Salvadori,247500
Dominique Wilkins,247500
Walt Williams,247500
Ben Wallace,247500
Jaren Jackson Jr,247500
Ashraf Amaya,247500
Matt Fish,247500
Mark Hendrickson,247000
Brett Szabo,220000
Steve Hamer,220000
Malik Rose,220000
Carlos Strong,220000
Reggie Geary,220000
Erick Strickland,220000
Darvin Ham,220000
Marcus Mann,220000
Ray Owes,220000
Emanual Davis,220000
Randy Livingston,220000
Travis Knight,220000
Chris Robinson,220000
James Scott,220000
Virginijus Praskevicius,220000
Amal McCaskill,220000
Ben Davis,220000
Marcus Brown,220000
Donald Whiteside,220000
Shandon Anderson,220000
Earl Cureton,205200
John Long,205200
Kenny Smith,190100
Lloyd Daniels,184100
Henry James,181100
Stephen Howard,181100
Aaron Williams,169000
Robert Werdann,166000
Gaylon Nickerson,152900
