TEAM_ID,TEAM_NAME,GP,W_PCT
1610612737,Atlanta Hawks,67,0.299
1610612738,Boston Celtics,72,0.667
1610612751,Brooklyn Nets,72,0.486
1610612766,Charlotte Hornets,65,0.354
1610612741,Chicago Bulls,65,0.338
1610612739,Cleveland Cavaliers,65,0.292
1610612742,Dallas Mavericks,75,0.573
1610612743,Denver Nuggets,73,0.63
1610612765,Detroit Pistons,66,0.303
1610612744,Golden State Warriors,65,0.231
1610612745,Houston Rockets,72,0.611
1610612754,Indiana Pacers,73,0.616
1610612746,LA Clippers,72,0.681
1610612747,Los Angeles Lakers,71,0.732
1610612763,Memphis Grizzlies,73,0.466
1610612748,Miami Heat,73,0.603
1610612749,Milwaukee Bucks,73,0.767
1610612750,Minnesota Timberwolves,64,0.297
1610612740,New Orleans Pelicans,72,0.417
1610612752,New York Knicks,66,0.318
1610612760,Oklahoma City Thunder,72,0.611
1610612753,Orlando Magic,73,0.452
1610612755,Philadelphia 76ers,73,0.589
1610612756,Phoenix Suns,73,0.466
1610612757,Portland Trail Blazers,74,0.473
1610612758,Sacramento Kings,72,0.431
1610612759,San Antonio Spurs,71,0.451
1610612761,Toronto Raptors,72,0.736
1610612762,Utah Jazz,72,0.611
1610612764,Washington Wizards,72,0.347
