TEAM_ID,TEAM_NAME,GP,W_PCT
1610612737,Atlanta Hawks,66,0.606
1610612738,Boston Celtics,66,0.591
1610612766,Charlotte Bobcats,66,0.106
1610612741,Chicago Bulls,66,0.758
1610612739,Cleveland Cavaliers,66,0.318
1610612742,Dallas Mavericks,66,0.545
1610612743,Denver Nuggets,66,0.576
1610612765,Detroit Pistons,66,0.379
1610612744,Golden State Warriors,66,0.348
1610612745,Houston Rockets,66,0.515
1610612754,Indiana Pacers,66,0.636
1610612746,Los Angeles Clippers,66,0.606
1610612747,Los Angeles Lakers,66,0.621
1610612763,Memphis Grizzlies,66,0.621
1610612748,Miami Heat,66,0.697
1610612749,Milwaukee Bucks,66,0.47
1610612750,Minnesota Timberwolves,66,0.394
1610612751,New Jersey Nets,66,0.333
1610612740,New Orleans Hornets,66,0.318
1610612752,New York Knicks,66,0.545
1610612760,Oklahoma City Thunder,66,0.712
1610612753,Orlando Magic,66,0.561
1610612755,Philadelphia 76ers,66,0.53
1610612756,Phoenix Suns,66,0.5
1610612757,Portland Trail Blazers,66,0.424
1610612758,Sacramento Kings,66,0.333
1610612759,San Antonio Spurs,66,0.758
1610612761,Toronto Raptors,66,0.348
1610612762,Utah Jazz,66,0.545
1610612764,Washington Wizards,66,0.303
