PLAYER,SALARY
Tony Delk,1000680
Henry James,1000000
Don Reid,1000000
Rick Fox,1000000
Terry Mills,1000000
Bo Outlaw,1000000
Terry Cummings,1000000
Clifford Robinson,1000000
Kelvin Cato,999240
Bob Sura,976920
Tom Hammonds,970000
Jermaine O'Neal,950640
Zan Tabak,950000
Brevin Knight,949320
Theo Ratliff,928080
John Wallace,903120
Mario Bennett,902500
Johnny Taylor,901880
Chris Carr,900000
Terry Dehere,886125
Walter McCarty,862560
Jason Caffey,850920
Zydrunas Ilgauskas,828000
Scot Pollard,818160
Michael Finley,816840
Dontae' Jones,794880
Paul Grant,785400
George Zidek,784200
Herb Williams,766667
Roy Rogers,763080
Randolph Childress,760000
Anthony Parker,754080
Travis Best,752000
Steve Kerr,750000
Tony Massenburg,750000
Keith Askins,750000
Ed Gray,723840
Loren Meyer,722760
Chris Anstey,713900
Eric Snow,706300
Derek Fisher,703200
Pete Chilcutt,700000
Bobby Jackson,694920
David Vaughn,693840
Danny Schayes,690000
Martin Muursepp,675120
Sherell Ford,670800
Jerome Williams,652800
J.R. Reid,650000
Mark West,650000
Greg Ostertag,647400
John Thomas,640440
Priest Lauderdale,630000
Eddie Johnson,626700
David Benoit,609096
Brian Evans,607545
Jacque Vaughn,601320
Dontonio Wingfield,600000
Gary Grant,600000
Keith Booth,597600
David Wingate,570000
Cory Alexander,562380
Rodrick Rhodes,555900
Donny Marshall,540000
Hubert Davis,537500
Greg Foster,504000
Jud Buechler,500000
Shawnelle Scott,500000
Randy Woods,500000
Marcus Brown,500000
Michael Curry,500000
Aaron Williams,500000
Jerome Kersey,500000
Lawrence Funderburke,500000
Joe Wolf,480000
Rick Mahorn,480000
Sam Mack,455000
Craig Ehlo,432081
Darrick Martin,431250
Bruce Bowen,422500
John Crotty,420000
Tyus Edney,400000
Isaac Austin,384000
Shane Heal,384000
Fred Hoiberg,356400
Darrell Armstrong,350000
Reggie Slater,350000
Anthony Goldwire,330000
Steve Scheffler,330000
Eldridge Recasner,326700
Tyrone Corbin,326700
Emanual Davis,326700
Matt Bullard,326700
Matt Maloney,326700
Othella Harrington,326700
Randy Livingston,326700
Derek Strong,326700
Gerald Wilkins,326700
Doug Overton,326700
Mark Davis,326700
Rex Chapman,326700
Ben Wallace,326700
Chris Robinson,325000
Charles O'Bannon,320000
Jerald Honeycutt,300000
Kevin Salvadori,300000
Adrian Caldwell,292250
Jon Barry,272500
Ed Stokes,272500
John Long,272500
Anthony Miller,272250
Chucky Brown,272250
Donald Whiteside,272250
Greg Anderson,272250
Jack Haley,272250
Steve Henson,272250
Corey Beck,272250
Tony Farmer,272250
Joe Kleine,272250
Mitchell Butler,272250
Kevin Ollie,272250
Rumeal Robinson,272250
Carl Thomas,272250
Joe Stephens,272250
Etdrick Bohannon,272250
Ivano Newbill,272250
Eric Murdock,272250
Mark Strickland,272250
Todd Day,272250
Jamie Feick,272250
Tim Breaux,272250
Reggie Jordan,272250
Pete Myers,272250
Ron Grandison,272250
Greg Anthony,272250
Stephen Howard,272250
Tim Kempton,272250
George McCloud,272250
Horacio Llamas Grey,272250
Tom Chambers,272250
Alton Lister,272250
Sean Higgins,272250
Vincent Askew,272250
Jaren Jackson Jr,272250
Malik Rose,272250
Reggie Geary,272250
Darvin Ham,272250
Terry Davis,272250
Jimmy Oliver,272250
DeJuan Wheat,262000
Bubba Wells,260000
Cedric Henderson,250000
Jason Lawson,242250
God Shammgod,242250
Chris Crawford,242000
Travis Williams,242000
Adrian Custis,242000
Eric Washington,242000
Serge Zwikker,242000
Mark Pope,242000
James Collins,242000
Shea Seals,242000
Malcolm Huckaby,242000
Jeff Nordgaard,242000
James Cotton,242000
Kebu Stewart,242000
Marko Milic,242000
Alvin Williams,242000
Anthony Johnson,242000
Michael Stewart,242000
Derek Grimm,242000
Chris Garner,242000
Troy Hudson,242000
Matt Fish,150000
Stacey King,100000
Scott Brooks,50000
Ron Riley,50000
Ruben Nembhard,50000
William Cunningham,50000
Jerome Allen,35000
Ben Davis,25000
Patrick Savoy,25000
Amal McCaskill,20700
Nate Huffman,20000
Todd Lindeman,15000
